iter	Passed	Remaining
389	4085	6389
390	4093	6375
391	4103	6364
392	4114	6354
393	4124	6343
394	4134	6331
395	4143	6320
396	4152	6306
397	4165	6300
398	4174	6288
399	4181	6272
400	4189	6258
401	4200	6248
402	4208	6234
403	4215	6219
404	4225	6208
405	4234	6195
406	4243	6182
407	4251	6168
408	4263	6160
409	4270	6145
410	4280	6134
411	4288	6120
412	4296	6106
413	4305	6094
414	4313	6081
415	4321	6066
416	4333	6057
417	4343	6047
418	4359	6044
419	4377	6045
420	4394	6044
421	4404	6032
422	4412	6019
423	4422	6008
424	4431	5995
425	4440	5983
426	4450	5972
427	4460	5961
428	4469	5949
429	4478	5935
430	4487	5924
431	4496	5912
432	4506	5901
433	4516	5889
434	4524	5876
435	4535	5866
436	4554	5867
437	4562	5854
438	4570	5840
439	4578	5827
440	4587	5814
441	4598	5805
442	4607	5793
443	4619	5784
444	4628	5772
445	4637	5760
446	4648	5750
447	4656	5737
448	4666	5726
449	4673	5712
450	4684	5701
451	4696	5693
452	4706	5682
453	4717	5673
454	4726	5661
455	4737	5651
456	4749	5643
457	4760	5633
458	4768	5620
459	4776	5607
460	4789	5599
461	4798	5587
462	4805	5573
463	4814	5561
464	4821	5547
465	4831	5536
466	4842	5527
467	4856	5520
468	4870	5514
469	4890	5515
470	4899	5503
471	4910	5492
472	4918	5480
473	4928	5469
474	4938	5458
475	4950	5449
476	4962	5441
477	4971	5429
478	4981	5417
479	4990	5406
480	4999	5394
481	5008	5382
482	5016	5369
483	5026	5359
484	5034	5345
485	5043	5334
486	5051	5321
487	5060	5309
488	5067	5295
489	5075	5283
490	5086	5273
491	5102	5268
492	5114	5260
493	5123	5248
494	5132	5236
495	5142	5224
496	5155	5218
497	5167	5209
498	5176	5197
499	5184	5184
500	5192	5171
501	5207	5166
502	5216	5154
503	5226	5143
504	5235	5131
505	5245	5121
506	5255	5110
507	5264	5098
508	5276	5089
509	5285	5078
510	5293	5065
511	5301	5053
512	5309	5040
513	5317	5027
514	5325	5015
515	5336	5005
516	5347	4995
517	5362	4990
518	5373	4979
519	5381	4967
520	5392	4958
521	5402	4947
522	5411	4935
523	5422	4925
524	5432	4915
525	5445	4907
526	5456	4896
527	5465	4885
528	5474	4874
529	5486	4865
530	5495	4854
531	5505	4843
532	5514	4831
533	5523	4819
534	5531	4807
535	5539	4795
536	5549	4784
537	5557	4772
538	5565	4759
539	5573	4747
540	5585	4738
541	5596	4728
542	5605	4717
543	5614	4705
544	5622	4694
545	5633	4684
546	5643	4673
547	5655	4664
548	5663	4652
549	5672	4640
550	5683	4631
551	5692	4620
552	5705	4611
553	5715	4601
554	5724	4590
555	5736	4581
556	5745	4569
557	5753	4557
558	5762	4546
559	5770	4534
560	5779	4522
561	5787	4510
562	5795	4498
563	5803	4486
564	5813	4475
565	5823	4465
566	5834	4455
567	5849	4448
568	5864	4442
569	5874	4431
570	5883	4420
571	5890	4407
572	5900	4397
573	5909	4386
574	5918	4374
575	5927	4363
576	5937	4352
577	5948	4342
578	5957	4331
579	5967	4321
580	5977	4310
581	5985	4299
582	5995	4288
583	6009	4280
584	6017	4268
585	6025	4256
586	6033	4245
587	6043	4234
588	6050	4222
589	6058	4210
590	6067	4199
591	6079	4189
592	6095	4183
593	6106	4173
594	6116	4163
595	6128	4154
596	6136	4142
597	6149	4133
598	6156	4121
599	6165	4110
600	6175	4099
601	6184	4088
602	6195	4078
603	6207	4069
604	6217	4059
605	6226	4048
606	6233	4036
607	6244	4026
608	6254	4015
609	6263	4004
610	6272	3993
611	6280	3981
612	6288	3969
613	6296	3958
614	6304	3946
615	6313	3935
616	6324	3925
617	6332	3914
618	6342	3903
619	6350	3892
620	6359	3881
621	6371	3872
622	6379	3860
623	6388	3849
624	6395	3837
625	6406	3827
626	6414	3815
627	6423	3805
628	6431	3793
629	6440	3782
630	6448	3771
631	6458	3760
632	6468	3750
633	6477	3739
634	6490	3730
635	6500	3720
636	6509	3709
637	6518	3698
638	6526	3687
639	6536	3676
640	6543	3664
641	6552	3653
642	6560	3642
643	6573	3634
644	6588	3626
645	6595	3614
646	6606	3604
647	6615	3593
648	6624	3582
649	6635	3572
650	6652	3566
651	6662	3556
652	6671	3545
653	6681	3534
654	6690	3524
655	6699	3513
656	6709	3502
657	6718	3492
658	6725	3480
659	6735	3469
660	6744	3458
661	6753	3448
662	6761	3437
663	6771	3426
664	6778	3414
665	6787	3403
666	6794	3392
667	6803	3381
668	6810	3369
669	6832	3365
670	6845	3356
671	6853	3345
672	6864	3335
673	6874	3325
674	6885	3315
675	6893	3304
676	6911	3297
677	6937	3294
678	6973	3296
679	6983	3286
680	6997	3277
681	7013	3270
682	7022	3259
683	7033	3249
684	7044	3239
685	7055	3229
686	7079	3225
687	7088	3214
688	7097	3203
689	7115	3196
690	7124	3185
691	7134	3175
692	7143	3164
693	7151	3153
694	7163	3143
695	7171	3132
696	7180	3121
697	7188	3110
698	7198	3099
699	7207	3089
700	7216	3077
701	7224	3066
702	7232	3055
703	7241	3044
704	7251	3034
705	7263	3024
706	7273	3014
707	7283	3003
708	7292	2993
709	7302	2982
710	7312	2972
711	7321	2961
712	7335	2952
713	7343	2941
714	7351	2930
715	7363	2920
716	7372	2909
717	7381	2899
718	7392	2889
719	7401	2878
720	7411	2867
721	7419	2856
722	7428	2845
723	7436	2835
724	7445	2824
725	7455	2813
726	7469	2804
727	7483	2796
728	7494	2785
729	7501	2774
730	7511	2764
731	7520	2753
732	7533	2744
733	7544	2734
734	7559	2725
735	7577	2718
736	7592	2709
737	7617	2704
738	7654	2703
739	7675	2696
740	7684	2685
741	7697	2676
742	7709	2666
743	7727	2658
744	7737	2648
745	7746	2637
746	7758	2627
747	7769	2617
748	7778	2606
749	7793	2597
750	7805	2587
751	7817	2578
752	7831	2568
753	7844	2559
754	7857	2549
755	7866	2538
756	7874	2527
757	7883	2516
758	7893	2506
759	7905	2496
760	7914	2485
761	7922	2474
762	7932	2463
763	7942	2453
764	7952	2442
765	7961	2432
766	7970	2421
767	7978	2410
768	7988	2399
769	7998	2389
770	8006	2377
771	8016	2367
772	8023	2356
773	8033	2345
774	8043	2335
775	8054	2324
776	8064	2314
777	8073	2303
778	8093	2296
779	8104	2285
780	8113	2275
781	8121	2264
782	8130	2253
783	8137	2241
784	8146	2231
785	8155	2220
786	8164	2209
787	8172	2198
788	8181	2187
789	8188	2176
790	8197	2165
791	8205	2154
792	8214	2144
793	8222	2133
794	8230	2122
795	8238	2111
796	8247	2100
797	8256	2089
798	8263	2078
799	8271	2067
800	8279	2057
801	8289	2046
802	8307	2038
803	8319	2028
804	8329	2017
805	8336	2006
806	8347	1996
807	8357	1985
808	8365	1975
809	8378	1965
810	8387	1954
811	8397	1944
812	8407	1933
813	8417	1923
814	8428	1913
815	8439	1902
816	8449	1892
817	8457	1881
818	8466	1871
819	8474	1860
820	8482	1849
821	8492	1839
822	8500	1828
823	8511	1818
824	8521	1807
825	8530	1796
826	8540	1786
827	8554	1777
828	8571	1768
829	8579	1757
830	8588	1746
831	8596	1735
832	8605	1725
833	8613	1714
834	8621	1703
835	8630	1693
836	8640	1682
837	8652	1672
838	8662	1662
839	8676	1652
840	8685	1642
841	8692	1631
842	8700	1620
843	8711	1610
844	8720	1599
845	8728	1588
846	8736	1578
847	8745	1567
848	8755	1557
849	8763	1546
850	8772	1535
851	8780	1525
852	8796	1515
853	8809	1506
854	8818	1495
855	8829	1485
856	8838	1474
857	8850	1464
858	8859	1454
859	8868	1443
860	8877	1433
861	8889	1423
862	8897	1412
863	8906	1401
864	8914	1391
865	8923	1380
866	8932	1370
867	8944	1360
868	8957	1350
869	8972	1340
870	8983	1330
871	8994	1320
872	9007	1310
873	9021	1300
874	9035	1290
875	9064	1283
876	9078	1273
877	9089	1262
878	9103	1253
879	9111	1242
880	9119	1231
881	9126	1221
882	9135	1210
883	9144	1199
884	9154	1189
885	9161	1178
886	9170	1168
887	9178	1157
888	9186	1147
889	9193	1136
890	9203	1125
891	9211	1115
892	9219	1104
893	9226	1094
894	9237	1083
895	9245	1073
896	9255	1062
897	9266	1052
898	9275	1042
899	9288	1032
900	9301	1022
901	9311	1011
902	9321	1001
903	9331	990
904	9343	980
905	9353	970
906	9364	960
907	9374	949
908	9383	939
909	9392	928
910	9400	918
911	9410	908
912	9419	897
913	9428	887
914	9437	876
915	9447	866
916	9455	855
917	9466	845
918	9477	835
919	9486	824
920	9497	814
921	9505	804
922	9513	793
923	9522	783
924	9535	773
925	9553	763
926	9563	753
927	9570	742
928	9580	732
929	9593	722
930	9608	712
931	9618	701
932	9630	691
933	9640	681
934	9647	670
935	9657	660
936	9666	649
937	9676	639
938	9684	629
939	9695	618
940	9703	608
941	9712	597
942	9720	587
943	9731	577
944	9739	566
945	9748	556
946	9758	546
947	9765	535
948	9777	525
949	9785	515
950	9797	504
951	9808	494
952	9819	484
953	9828	473
954	9838	463
955	9846	453
956	9858	442
957	9865	432
958	9875	422
959	9889	412
960	9899	401
961	9908	391
962	9917	381
963	9927	370
964	9937	360
965	9946	350
966	9956	339
967	9965	329
968	9974	319
969	9982	308
970	9989	298
971	9996	287
972	10006	277
973	10013	267
974	10025	257
975	10036	246
976	10049	236
977	10060	226
978	10070	216
979	10078	205
980	10088	195
981	10096	185
982	10106	174
983	10117	164
984	10125	154
985	10135	143
986	10147	133
987	10157	123
988	10167	113
989	10177	102
990	10185	92
991	10193	82
992	10202	71
993	10211	61
994	10219	51
995	10226	41
996	10237	30
997	10245	20
998	10256	10
999	10265	0
